date;session_start_time;session_end_time;duration_seconds;counted_in_total;algorithm_segment;threshold_seconds;method2_session_order;source;event_count;start_event_id;end_event_id;start_action;end_action;session_id;connection_id;username;user_id;stoys_id;path;browser;os;os_version;device_model;country;city;ip;user_agent;brand;branch;user_type;school_name;grade;class_name
12.01.2026;2026-01-12T06:04:40.782000Z;2026-01-12T06:04:45.777000Z;4;TRUE;post_switch_connect_disconnect;300;26;events;2;69648ef89ae832bed80d76f6;69648efdd518e609e9009b20;Connect;Disconnect;web_01KERB1H85DE4YAQFKGSFFW0JA;XDtGzcjKDoECIRw=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
12.01.2026;2026-01-12T06:05:03.487000Z;2026-01-12T06:05:06.485000Z;2;TRUE;post_switch_connect_disconnect;300;27;events;2;69648f0f6c6cb062990cf502;69648f126039ef42f8013544;Connect;Disconnect;web_01KERB1H85DE4YAQFKGSFFW0JA;XDtKXeAmjoECI8g=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
12.01.2026;2026-01-12T06:05:05.323000Z;2026-01-12T06:05:08.437000Z;3;TRUE;post_switch_connect_disconnect;300;28;events;2;69648f110f63e78300088a2f;69648f147703e9eb4c0ebd9d;Connect;Disconnect;web_01KERB1H85DE4YAQFKGSFFW0JA;XDtKmcUiDoECFdQ=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
12.01.2026;2026-01-12T06:59:57.956000Z;2026-01-12T07:00:03.621000Z;5;TRUE;post_switch_connect_disconnect;300;29;events;2;69649bed5ed25b7af60adb85;69649bf38b271f6bdb0963b1;Connect;Disconnect;web_01KERB1H85DE4YAQFKGSFFW0JA;XD1NHfJ7joECGQw=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
12.01.2026;2026-01-12T07:00:02.807000Z;2026-01-12T07:00:05.806000Z;2;TRUE;post_switch_connect_disconnect;300;30;events;2;69649bf2c897d7c2bc0daf47;69649bf590cf780d990b6215;Connect;Disconnect;web_01KERB1H85DE4YAQFKGSFFW0JA;XD1Nwe3vjoECJ-Q=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
12.01.2026;2026-01-12T07:00:13.680000Z;2026-01-12T07:00:21.266000Z;7;TRUE;post_switch_connect_disconnect;300;31;events;2;69649bfdabeb484d5a01808c;69649c05f946ba254a000239;Connect;Disconnect;web_01KERB1H85DE4YAQFKGSFFW0JA;XD1PocGAjoECHNw=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
12.01.2026;2026-01-12T07:00:29.808000Z;2026-01-12T07:00:36.202000Z;6;TRUE;post_switch_connect_disconnect;300;32;events;2;69649c0dcf183fd2d8090c0c;69649c1400f986a32f0201fa;Connect;Disconnect;web_01KERB1H85DE4YAQFKGSFFW0JA;XD1SFd-SjoEAdHg=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
12.01.2026;2026-01-12T07:00:41.051000Z;2026-01-12T07:01:01.259000Z;20;TRUE;post_switch_connect_disconnect;300;33;events;2;69649c1979a37d17e50882f3;69649c2d33e33102840151ae;Connect;Disconnect;web_01KERB1H85DE4YAQFKGSFFW0JA;XD1T6ckEjoECIYA=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
12.01.2026;2026-01-12T07:01:06.034000Z;2026-01-12T07:01:08.536000Z;2;TRUE;post_switch_connect_disconnect;300;34;events;2;69649c32cfbfb37fec0befbb;69649c346a2975b6fa017291;Connect;Disconnect;web_01KERB1H85DE4YAQFKGSFFW0JA;XD1XYfD3DoECJjg=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
12.01.2026;2026-01-12T07:01:08.277000Z;2026-01-12T07:01:21.055000Z;12;TRUE;post_switch_connect_disconnect;300;35;events;2;69649c34fcc0c5900b054a02;69649c41a3a82df86204084c;Connect;Disconnect;web_01KERB1H85DE4YAQFKGSFFW0JA;XD1YFd_WjoECFFg=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
12.01.2026;2026-01-12T07:05:30.717000Z;2026-01-12T07:05:40.891000Z;10;TRUE;post_switch_connect_disconnect;300;36;events;2;69649d3ab5390a989208d6aa;69649d4486516061bc0e81ac;Connect;Disconnect;web_01KERB1H85DE4YAQFKGSFFW0JA;XD2BFet0joECE9Q=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
12.01.2026;2026-01-12T07:05:40.437000Z;2026-01-12T07:05:43.264000Z;2;TRUE;post_switch_connect_disconnect;300;37;events;2;69649d44b8c71850f80ab4da;69649d47271c2d2b8c02d3aa;Connect;Disconnect;web_01KERB1H85DE4YAQFKGSFFW0JA;XD2CsfDoDoECFag=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
12.01.2026;2026-01-12T07:06:17.134000Z;2026-01-12T07:06:19.604000Z;2;TRUE;post_switch_connect_disconnect;300;38;events;2;69649d69ec57f40c960bbce2;69649d6b400c45a75507b849;Connect;Disconnect;web_01KERB1H85DE4YAQFKGSFFW0JA;XD2IbedzjoECGdQ=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
