date,connectedAt,disconnectedAt,spentTimeSeconds,connectionId,sessionId,path,browser,os,os_version,device_type,device_model,country,city,ip,user_agent
2026-01-09,,2026-01-09T08:21:37.862+00:00,2.355,W6IWSdBqDoECEtQ=,web_01KEGWBHWT7XQ3YYZ1E9YWEFA5,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,2026-01-09T10:16:29.916+00:00,,,W6ZLrcGLjoECF0A=,web_01KEGWBHWT7XQ3YYZ1E9YWEFA5,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,,2026-01-09T10:16:32.579+00:00,2.663,W6ZLrcGLjoECF0A=,web_01KEGWBHWT7XQ3YYZ1E9YWEFA5,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,2026-01-09T12:55:20.933+00:00,,,W6wczdgQjoECGPw=,web_01KEGWBHWT7XQ3YYZ1E9YWEFA5,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,,2026-01-09T12:55:24.367+00:00,3.434,W6wczdgQjoECGPw=,web_01KEGWBHWT7XQ3YYZ1E9YWEFA5,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,2026-01-09T12:55:49.885+00:00,,,W6wWmdt1DoECJ0w=,web_01KEGWBHWT7XQ3YYZ1E9YWEFA5,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,2026-01-09T13:07:07.385+00:00,,,W6yLGfZiDoECFkg=,web_01KEGWBHWT7XQ3YYZ1E9YWEFA5,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,,2026-01-09T13:07:12.630+00:00,5.245,W6yLGfZiDoECFkg=,web_01KEGWBHWT7XQ3YYZ1E9YWEFA5,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,2026-01-09T13:13:59.830+00:00,,,W6zLOfC4joECElQ=,web_01KEGWBHWT7XQ3YYZ1E9YWEFA5,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,,2026-01-09T13:14:04.191+00:00,4.361,W6zLOfC4joECElQ=,web_01KEGWBHWT7XQ3YYZ1E9YWEFA5,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
